Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins
"C1, C3, C4",3,0.1µF,C_0402_1005Metric_no_silk,0402 (1005 Metric), GRM155R71C104KA88D,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,
C5,1,0.01µF,C_0402_1005Metric_no_silk,0402 (1005 Metric),GRM1555C1E103GE01D ,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,
D1,1,LED,LED_0603_1608Metric,0603 (1608 Metric),150060RS75000,,smt,Light emitting diode,,1=K 2=A
"J1, J2",2,Conn_01x02_Pin,61300211121,Through Hole,61300211121,,tht,"Generic connector, single row, 01x02, script generated",,
J4,1,Conn_01x06_Socket,CONN_S6B-XH-A-1_JST,Through Hole,S6B-XH-A-1,,tht,"Generic connector, single row, 01x06, script generated",,
R1,1,PTB0143-2010BPA103,PTB01432010BPB103,Through Hole,PTB0143-2010BPA103,,tht,,,
"R2, R3, R4, R5",4,1K,R_0805_2012Metric,0805 (2012 Metric),RNCF0805DTE1K00,,smt,Resistor,,
"R6, R7, R8, R9",4,10K,R_0805_2012Metric,0805 (2012 Metric),RNCF0805DTE10K0,,smt,Resistor,,
U1,1,ADS112C04IPWR,SOP65P640X120-16N,TSSOP (16),ADS112C04IPWR,,smt,,,
